 -8.1246420e+000 -6.2902305e-001 -3.3549858e-001 -1.0507752e-002  2.0652566e-001  1.8656045e-001  3.1778935e-001  2.9730543e-001  2.8725917e-001  3.0468351e-001  2.0334527e-001  2.6032995e-001  1.1160475e-001  2.2183763e-001  1.3009687e-001
 -8.1240435e+000 -6.2765099e-001 -3.3446593e-001 -1.0031786e-002  2.0648589e-001  1.8600064e-001  3.1653431e-001  2.9599550e-001  2.8646614e-001  3.0415573e-001  2.0321041e-001  2.6056946e-001  1.1198396e-001  2.2232896e-001  1.3045704e-001
 -8.1237277e+000 -6.2691131e-001 -3.3391048e-001 -9.8193959e-003  2.0638642e-001  1.8561386e-001  3.1579959e-001  2.9528411e-001  2.8607543e-001  3.0392029e-001  2.0321111e-001  2.6077881e-001  1.1223706e-001  2.2262239e-001  1.3067803e-001
 -8.1229235e+000 -6.2583759e-001 -3.3336846e-001 -1.0610163e-002  2.0480428e-001  1.8385704e-001  3.1451163e-001  2.9479124e-001  2.8645717e-001  3.0433019e-001  2.0382676e-001  2.6149535e-001  1.1262356e-001  2.2305197e-001  1.3118819e-001
 -8.1234250e+000 -6.2602474e-001 -3.3316661e-001 -9.2043457e-003  2.0674635e-001  1.8562940e-001  3.1517639e-001  2.9435566e-001  2.8528503e-001  3.0333304e-001  2.0290039e-001  2.6075143e-001  1.1241447e-001  2.2288243e-001  1.3081736e-001
 -8.1235313e+000 -6.2637710e-001 -3.3348638e-001 -9.5202868e-003  2.0652386e-001  1.8551877e-001  3.1532110e-001  2.9470419e-001  2.8566087e-001  3.0364209e-001  2.0311256e-001  2.6085104e-001  1.1239852e-001  2.2281942e-001  1.3079946e-001
 -8.1245684e+000 -6.2804679e-001 -3.3447199e-001 -9.0129122e-003  2.0798401e-001  1.8746309e-001  3.1727783e-001  2.9589332e-001  2.8569663e-001  3.0348195e-001  2.0253860e-001  2.5997870e-001  1.1177000e-001  2.2211573e-001  1.3010902e-001
 -8.1226702e+000 -6.2509854e-001 -3.3274341e-001 -1.0117690e-002  2.0507450e-001  1.8381671e-001  3.1393152e-001  2.9400997e-001  2.8584047e-001  3.0387870e-001  2.0359326e-001  2.6149735e-001  1.1278672e-001  2.2328269e-001  1.3132431e-001
 -8.1244089e+000 -6.2830647e-001 -3.3490802e-001 -9.9698228e-003  2.0691189e-001  1.8662693e-001  3.1722761e-001  2.9648293e-001  2.8656950e-001  3.0418088e-001  2.0308500e-001  2.6031667e-001  1.1178357e-001  2.2208857e-001  1.3022481e-001
 -8.1238643e+000 -6.2718197e-001 -3.3411589e-001 -9.7982256e-003  2.0660177e-001  1.8588039e-001  3.1602966e-001  2.9544518e-001  2.8611581e-001  3.0393890e-001  2.0316347e-001  2.6067915e-001  1.1216886e-001  2.2254414e-001  1.3059449e-001
 -8.1222466e+000 -6.2462483e-001 -3.3256020e-001 -1.0804742e-002  2.0391952e-001  1.8254459e-001  3.1305260e-001  2.9384515e-001  2.8635734e-001  3.0439549e-001  2.0418211e-001  2.6209154e-001  1.1307741e-001  2.2355951e-001  1.3168074e-001
 -8.1229731e+000 -6.2529974e-001 -3.3275744e-001 -9.3938207e-003  2.0620293e-001  1.8484660e-001  3.1429555e-001  2.9378652e-001  2.8522283e-001  3.0337108e-001  2.0312517e-001  2.6111702e-001  1.1270319e-001  2.2321050e-001  1.3112162e-001
 -8.1254625e+000 -6.3019311e-001 -3.3613473e-001 -9.8927958e-003  2.0789580e-001  1.8820958e-001  3.1919060e-001  2.9798776e-001  2.8703964e-001  3.0439116e-001  2.0282610e-001  2.5966677e-001  1.1120254e-001  2.2136838e-001  1.2957732e-001
 -8.1247993e+000 -6.2948436e-001 -3.3591947e-001 -1.0892719e-002  2.0628601e-001  1.8645173e-001  3.1795623e-001  2.9771835e-001  2.8770454e-001  3.0506266e-001  2.0362407e-001  2.6048089e-001  1.1161739e-001  2.2177987e-001  1.3008094e-001
 -8.1228013e+000 -6.2535735e-001 -3.3293883e-001 -1.0119205e-002  2.0523176e-001  1.8403684e-001  3.1415930e-001  2.9418298e-001  2.8589782e-001  3.0391610e-001  2.0357616e-001  2.6142814e-001  1.1272857e-001  2.2320528e-001  1.3124508e-001
 -8.1251127e+000 -6.2962750e-001 -3.3578904e-001 -1.0055590e-002  2.0740725e-001  1.8754321e-001  3.1851131e-001  2.9757994e-001  2.8704030e-001  3.0445408e-001  2.0301343e-001  2.5994998e-001  1.1140378e-001  2.2160254e-001  1.2981359e-001
 -8.1237007e+000 -6.2643444e-001 -3.3340550e-001 -9.0134541e-003  2.0721190e-001  1.8618032e-001  3.1563115e-001  2.9458251e-001  2.8522424e-001  3.0325112e-001  2.0273970e-001  2.6053730e-001  1.1228620e-001  2.2273299e-001  1.3064831e-001
